Municípios,Estimativas Populacionais - DEE\Total\2021,Idese\2021,PIB\Total\2021 (R$ mil),PIB\Impostos\2021 (R$ mil),PIB\Indústria\2021 (R$ mil),PIB\Agropecuária\2021 (R$ mil),PIB\Serviços\Total\2021,PIB per capita\2021 (R$),COREDE,Fronteira Argentina,Fronteira Uruguai,Fronteira Santa Catarina,Litorâneo
Cerro Grande do Sul,10.675,"0,6400","203.182,57","13.542,81","9.901,73","58.730,03","121.008,00","16.152,52",Centro-Sul,Não,Não,Não,Não
Cerro Largo,14.814,"0,7594","796.774,91","172.693,07","73.911,15","83.745,88","466.424,80","55.941,51",Missões,Não,Não,Sim,Não
Chapada,10.299,"0,8174","741.825,80","48.832,27","47.387,34","393.768,39","251.837,80","80.536,95",Rio da Várzea,Não,Não,Sim,Não
Charqueadas,38.054,"0,7388","1.736.974,47","191.262,54","778.257,58","61.424,55","706.029,79","41.649,07",Centro-Sul,Não,Não,Não,Não
Charrua,3.211,"0,6976","149.350,72","5.664,17","3.415,03","90.807,08","49.464,43","46.267,26",Norte,Não,Não,Não,Não
Chiapetta,4.047,"0,8122","388.834,98","9.536,17","12.097,71","274.522,28","92.678,82","105.546,96",Celeiro,Não,Não,Não,Não
Chuí,5.869,"0,7944","370.300,76","44.333,14","56.820,96","42.647,56","226.499,10","54.200,93",Sul,Não,Sim,Não,Sim
Chuvisca,5.242,"0,6596","129.739,17","4.320,48","3.533,74","65.543,05","56.341,90","23.511,99",Centro-Sul,Não,Não,Não,Não
Cidreira,16.515,"0,5997","362.058,55","26.052,59","23.369,12","25.701,99","286.934,86","21.427,39",Litoral,Não,Não,Não,Sim
Ciríaco,4.670,"0,7756","264.360,14","17.393,41","15.408,87","139.554,83","92.003,04","56.330,74",Produção,Não,Não,Não,Não
Colinas,2.971,"0,7715","87.208,65","4.254,38","9.886,67","35.744,17","37.323,44","35.364,42",Vale do Taquari,Não,Não,Não,Não
Colorado,3.482,"0,8433","338.156,71","17.377,65","11.957,50","212.849,82","95.971,74","109.506,71",Alto Jacuí,Não,Não,Não,Não
Condor,7.277,"0,8111","624.705,03","50.428,67","69.822,02","292.442,85","212.011,48","92.330,04",Noroeste Colonial,Não,Não,Não,Não
